dataset,emb,rerank,query,pos1,pos2,pos3,pos4,pos5,pos6,pos7,pos8,pos9,pos10,pos11
question_golden_answer_2000,thenlper-gte-large,,200,89,47,24,14,7,8,2,0,1,0,8
wikiqa_2223,thenlper-gte-large,,200,173,19,5,1,0,0,0,0,1,0,1
yahoo_2000,thenlper-gte-large,,200,130,23,9,5,2,6,2,2,3,2,16
foreign_english_1800,thenlper-gte-base,,200,57,7,1,4,2,1,2,0,2,1,123
foreign_foreign_2000,thenlper-gte-base,,200,20,6,2,4,3,4,1,3,4,3,150
golden_answer_2000,thenlper-gte-base,,200,61,30,28,13,19,7,6,5,5,4,22
images_captions_v1_2293,thenlper-gte-base,,200,64,25,19,10,8,5,6,6,1,2,54
msmarco_2000,thenlper-gte-base,,200,180,16,1,0,1,0,0,1,0,0,1
papers_dataset_924,thenlper-gte-base,,200,161,18,3,0,3,1,0,2,1,3,8
question_golden_answer_2000,thenlper-gte-base,,200,90,48,20,14,11,2,0,1,4,0,10
wikiqa_2223,thenlper-gte-base,,200,175,14,5,1,0,1,0,2,0,1,1
yahoo_2000,thenlper-gte-base,,200,137,13,4,11,3,3,5,3,1,0,20
foreign_english_1800,sentence-transformers-multi-qa-mpnet-base-dot-v1,,200,57,4,2,1,2,1,1,2,1,2,127
foreign_foreign_2000,sentence-transformers-multi-qa-mpnet-base-dot-v1,,200,6,2,1,2,1,0,0,0,1,0,187
golden_answer_2000,sentence-transformers-multi-qa-mpnet-base-dot-v1,,200,52,29,32,21,15,12,5,2,2,1,29
images_captions_v1_2293,sentence-transformers-multi-qa-mpnet-base-dot-v1,,200,45,18,15,5,10,10,4,3,3,5,82
msmarco_2000,sentence-transformers-multi-qa-mpnet-base-dot-v1,,200,181,14,2,1,0,0,0,0,0,1,1
papers_dataset_924,sentence-transformers-multi-qa-mpnet-base-dot-v1,,200,167,14,3,1,2,1,1,0,0,1,10
question_golden_answer_2000,sentence-transformers-multi-qa-mpnet-base-dot-v1,,200,89,47,20,9,8,4,5,0,2,1,15
wikiqa_2223,sentence-transformers-multi-qa-mpnet-base-dot-v1,,200,164,21,4,6,0,2,0,0,0,0,3
yahoo_2000,sentence-transformers-multi-qa-mpnet-base-dot-v1,,200,123,22,10,5,4,3,8,1,0,2,22
foreign_english_1800,sentence-transformers-paraphrase-multilingual-mpnet-base-v2,,200,127,10,8,4,5,3,2,2,2,3,34
foreign_foreign_2000,sentence-transformers-paraphrase-multilingual-mpnet-base-v2,,200,129,15,8,7,3,3,1,1,2,2,29
golden_answer_2000,sentence-transformers-paraphrase-multilingual-mpnet-base-v2,,200,45,34,24,14,11,5,3,8,1,5,50
images_captions_v1_2293,sentence-transformers-paraphrase-multilingual-mpnet-base-v2,,200,61,26,13,7,13,7,5,3,2,4,59
msmarco_2000,sentence-transformers-paraphrase-multilingual-mpnet-base-v2,,200,146,28,9,4,4,0,0,0,1,2,6
papers_dataset_924,sentence-transformers-paraphrase-multilingual-mpnet-base-v2,,200,78,17,3,4,8,4,7,4,3,1,71
question_golden_answer_2000,sentence-transformers-paraphrase-multilingual-mpnet-base-v2,,200,66,45,23,3,10,5,4,4,2,0,38
wikiqa_2223,sentence-transformers-paraphrase-multilingual-mpnet-base-v2,,200,150,19,6,4,1,2,3,1,2,2,10
yahoo_2000,sentence-transformers-paraphrase-multilingual-mpnet-base-v2,,200,94,19,11,6,2,8,4,3,4,2,47
foreign_english_1800,sentence-transformers-paraphrase-multilingual-MiniLM-L12-v2,,200,107,15,8,6,6,2,2,4,0,1,49
foreign_foreign_2000,sentence-transformers-paraphrase-multilingual-MiniLM-L12-v2,,200,118,15,6,7,1,3,4,2,0,4,40
golden_answer_2000,sentence-transformers-paraphrase-multilingual-MiniLM-L12-v2,,200,38,28,17,14,14,10,3,4,1,1,70
images_captions_v1_2293,sentence-transformers-paraphrase-multilingual-MiniLM-L12-v2,,200,68,21,13,9,6,9,4,2,9,8,51
msmarco_2000,sentence-transformers-paraphrase-multilingual-MiniLM-L12-v2,,200,149,27,9,1,2,1,0,0,1,0,10
papers_dataset_924,sentence-transformers-paraphrase-multilingual-MiniLM-L12-v2,,200,71,18,10,6,1,4,3,4,2,2,79
question_golden_answer_2000,sentence-transformers-paraphrase-multilingual-MiniLM-L12-v2,,200,63,30,15,11,12,2,2,5,3,6,51
wikiqa_2223,sentence-transformers-paraphrase-multilingual-MiniLM-L12-v2,,200,136,22,7,3,2,1,2,1,1,0,25
yahoo_2000,sentence-transformers-paraphrase-multilingual-MiniLM-L12-v2,,200,88,18,14,1,5,8,2,1,3,0,60
golden_answer_2000,sentence-transformers-all-MiniLM-L6-v2,BAAI-bge-reranker-large,200,53,33,25,18,10,6,4,9,2,1,39
golden_answer_2000,sentence-transformers-all-MiniLM-L6-v2,BAAI-bge-reranker-base,200,49,23,28,19,14,9,4,9,5,1,39
golden_answer_2000,sentence-transformers-all-MiniLM-L6-v2,cross-encoder-ms-marco-MiniLM-L-12-v2,200,53,33,26,14,12,9,5,5,1,3,39
golden_answer_2000,sentence-transformers-all-MiniLM-L6-v2,cross-encoder-ms-marco-electra-base,200,59,34,25,14,11,7,2,4,3,2,39
msmarco_2000,sentence-transformers-all-MiniLM-L6-v2,BAAI-bge-reranker-large,200,187,11,0,1,0,0,0,0,0,0,1
msmarco_2000,sentence-transformers-all-MiniLM-L6-v2,BAAI-bge-reranker-base,200,185,12,2,0,0,0,0,0,0,0,1
msmarco_2000,sentence-transformers-all-MiniLM-L6-v2,cross-encoder-ms-marco-MiniLM-L-12-v2,200,184,12,2,1,0,0,0,0,0,0,1
msmarco_2000,sentence-transformers-all-MiniLM-L6-v2,cross-encoder-ms-marco-electra-base,200,184,15,0,0,0,0,0,0,0,0,1
papers_dataset_924,sentence-transformers-all-MiniLM-L6-v2,BAAI-bge-reranker-large,200,132,18,8,3,3,4,3,0,0,0,29
papers_dataset_924,sentence-transformers-all-MiniLM-L6-v2,BAAI-bge-reranker-base,200,117,30,9,3,1,3,3,3,2,0,29
papers_dataset_924,sentence-transformers-all-MiniLM-L6-v2,cross-encoder-ms-marco-MiniLM-L-12-v2,200,116,27,7,8,2,2,3,4,2,0,29
papers_dataset_924,sentence-transformers-all-MiniLM-L6-v2,cross-encoder-ms-marco-electra-base,200,118,18,5,10,4,0,8,2,5,1,29
question_golden_answer_2000,sentence-transformers-all-MiniLM-L6-v2,BAAI-bge-reranker-large,200,52,35,23,16,8,12,14,8,8,1,23
question_golden_answer_2000,sentence-transformers-all-MiniLM-L6-v2,BAAI-bge-reranker-base,200,59,35,16,15,9,12,7,14,5,5,23
question_golden_answer_2000,sentence-transformers-all-MiniLM-L6-v2,cross-encoder-ms-marco-MiniLM-L-12-v2,200,89,48,18,5,7,2,2,4,2,0,23
question_golden_answer_2000,sentence-transformers-all-MiniLM-L6-v2,cross-encoder-ms-marco-electra-base,200,90,47,15,12,5,3,1,2,2,0,23
wikiqa_2223,sentence-transformers-all-MiniLM-L6-v2,BAAI-bge-reranker-large,200,135,28,14,6,4,2,3,1,1,1,5
wikiqa_2223,sentence-transformers-all-MiniLM-L6-v2,BAAI-bge-reranker-base,200,118,29,16,9,7,4,3,5,4,0,5
wikiqa_2223,sentence-transformers-all-MiniLM-L6-v2,cross-encoder-ms-marco-MiniLM-L-12-v2,200,161,20,9,2,2,0,0,0,1,0,5
wikiqa_2223,sentence-transformers-all-MiniLM-L6-v2,cross-encoder-ms-marco-electra-base,200,164,19,6,4,0,0,2,0,0,0,5
yahoo_2000,sentence-transformers-all-MiniLM-L6-v2,BAAI-bge-reranker-large,200,119,20,8,9,9,3,3,4,1,2,22
yahoo_2000,sentence-transformers-all-MiniLM-L6-v2,BAAI-bge-reranker-base,200,118,18,13,6,7,5,3,4,3,1,22
yahoo_2000,sentence-transformers-all-MiniLM-L6-v2,cross-encoder-ms-marco-MiniLM-L-12-v2,200,93,27,16,7,12,2,5,6,5,5,22
yahoo_2000,sentence-transformers-all-MiniLM-L6-v2,cross-encoder-ms-marco-electra-base,200,92,30,10,13,8,6,10,4,4,1,22
golden_answer_2000,sentence-transformers-all-MiniLM-L12-v2,BAAI-bge-reranker-large,200,52,34,24,11,16,7,2,7,2,3,42
golden_answer_2000,sentence-transformers-all-MiniLM-L12-v2,BAAI-bge-reranker-base,200,51,25,28,15,13,8,3,6,6,3,42
golden_answer_2000,sentence-transformers-all-MiniLM-L12-v2,cross-encoder-ms-marco-MiniLM-L-12-v2,200,54,36,23,11,14,5,9,4,0,2,42
golden_answer_2000,sentence-transformers-all-MiniLM-L12-v2,cross-encoder-ms-marco-electra-base,200,59,36,25,12,11,5,4,1,3,2,42
msmarco_2000,sentence-transformers-all-MiniLM-L12-v2,BAAI-bge-reranker-large,200,184,12,1,0,0,0,0,0,0,0,3
msmarco_2000,sentence-transformers-all-MiniLM-L12-v2,BAAI-bge-reranker-base,200,184,10,3,0,0,0,0,0,0,0,3
msmarco_2000,sentence-transformers-all-MiniLM-L12-v2,cross-encoder-ms-marco-MiniLM-L-12-v2,200,183,12,1,1,0,0,0,0,0,0,3
msmarco_2000,sentence-transformers-all-MiniLM-L12-v2,cross-encoder-ms-marco-electra-base,200,183,14,0,0,0,0,0,0,0,0,3
papers_dataset_924,sentence-transformers-all-MiniLM-L12-v2,BAAI-bge-reranker-large,200,122,14,4,6,1,0,0,1,0,0,52
papers_dataset_924,sentence-transformers-all-MiniLM-L12-v2,BAAI-bge-reranker-base,200,110,21,8,4,2,1,0,2,0,0,52
papers_dataset_924,sentence-transformers-all-MiniLM-L12-v2,cross-encoder-ms-marco-MiniLM-L-12-v2,200,110,16,9,4,5,3,0,0,1,0,52
papers_dataset_924,sentence-transformers-all-MiniLM-L12-v2,cross-encoder-ms-marco-electra-base,200,112,13,6,4,3,4,4,0,2,0,52
question_golden_answer_2000,sentence-transformers-all-MiniLM-L12-v2,BAAI-bge-reranker-large,200,58,26,25,13,12,13,8,6,10,5,24
question_golden_answer_2000,sentence-transformers-all-MiniLM-L12-v2,BAAI-bge-reranker-base,200,62,34,14,15,14,8,10,11,5,3,24
question_golden_answer_2000,sentence-transformers-all-MiniLM-L12-v2,cross-encoder-ms-marco-MiniLM-L-12-v2,200,91,42,20,6,6,3,3,4,1,0,24
question_golden_answer_2000,sentence-transformers-all-MiniLM-L12-v2,cross-encoder-ms-marco-electra-base,200,90,48,15,10,8,2,1,1,1,0,24
wikiqa_2223,sentence-transformers-all-MiniLM-L12-v2,BAAI-bge-reranker-large,200,134,31,16,3,3,2,2,2,1,0,6
wikiqa_2223,sentence-transformers-all-MiniLM-L12-v2,BAAI-bge-reranker-base,200,121,28,17,4,9,5,6,2,2,0,6
wikiqa_2223,sentence-transformers-all-MiniLM-L12-v2,cross-encoder-ms-marco-MiniLM-L-12-v2,200,158,23,10,0,1,1,0,0,1,0,6
wikiqa_2223,sentence-transformers-all-MiniLM-L12-v2,cross-encoder-ms-marco-electra-base,200,164,17,9,1,1,0,1,1,0,0,6
yahoo_2000,sentence-transformers-all-MiniLM-L12-v2,BAAI-bge-reranker-large,200,116,24,10,12,3,4,2,4,4,1,20
yahoo_2000,sentence-transformers-all-MiniLM-L12-v2,BAAI-bge-reranker-base,200,112,25,13,6,6,8,2,2,3,3,20
yahoo_2000,sentence-transformers-all-MiniLM-L12-v2,cross-encoder-ms-marco-MiniLM-L-12-v2,200,97,24,16,11,8,6,4,3,4,7,20
yahoo_2000,sentence-transformers-all-MiniLM-L12-v2,cross-encoder-ms-marco-electra-base,200,93,26,17,9,8,10,7,4,3,3,20
golden_answer_2000,sentence-transformers-all-mpnet-base-v2,BAAI-bge-reranker-large,200,53,33,25,12,12,13,8,4,4,3,33
golden_answer_2000,sentence-transformers-all-mpnet-base-v2,BAAI-bge-reranker-base,200,53,25,29,17,12,10,5,4,9,3,33
golden_answer_2000,sentence-transformers-all-mpnet-base-v2,cross-encoder-ms-marco-MiniLM-L-12-v2,200,54,35,23,15,15,10,5,5,2,3,33
golden_answer_2000,sentence-transformers-all-mpnet-base-v2,cross-encoder-ms-marco-electra-base,200,57,37,25,13,12,9,6,2,5,1,33
msmarco_2000,sentence-transformers-all-mpnet-base-v2,BAAI-bge-reranker-large,200,185,13,1,0,0,0,0,0,0,0,1
msmarco_2000,sentence-transformers-all-mpnet-base-v2,BAAI-bge-reranker-base,200,185,11,3,0,0,0,0,0,0,0,1
msmarco_2000,sentence-transformers-all-mpnet-base-v2,cross-encoder-ms-marco-MiniLM-L-12-v2,200,184,13,1,1,0,0,0,0,0,0,1
msmarco_2000,sentence-transformers-all-mpnet-base-v2,cross-encoder-ms-marco-electra-base,200,184,15,0,0,0,0,0,0,0,0,1
papers_dataset_924,sentence-transformers-all-mpnet-base-v2,BAAI-bge-reranker-large,200,139,19,12,3,8,4,1,0,1,0,13
papers_dataset_924,sentence-transformers-all-mpnet-base-v2,BAAI-bge-reranker-base,200,123,35,7,6,1,2,6,2,5,0,13
papers_dataset_924,sentence-transformers-all-mpnet-base-v2,cross-encoder-ms-marco-MiniLM-L-12-v2,200,128,20,12,6,4,2,5,7,1,2,13
papers_dataset_924,sentence-transformers-all-mpnet-base-v2,cross-encoder-ms-marco-electra-base,200,124,20,9,10,2,8,4,5,2,3,13
question_golden_answer_2000,sentence-transformers-all-mpnet-base-v2,BAAI-bge-reranker-large,200,50,39,24,15,16,14,11,10,4,6,11
question_golden_answer_2000,sentence-transformers-all-mpnet-base-v2,BAAI-bge-reranker-base,200,57,38,20,13,12,14,14,8,5,8,11
question_golden_answer_2000,sentence-transformers-all-mpnet-base-v2,cross-encoder-ms-marco-MiniLM-L-12-v2,200,90,46,21,9,6,5,1,4,3,4,11
question_golden_answer_2000,sentence-transformers-all-mpnet-base-v2,cross-encoder-ms-marco-electra-base,200,89,51,16,16,4,5,2,4,1,1,11
wikiqa_2223,sentence-transformers-all-mpnet-base-v2,BAAI-bge-reranker-large,200,140,26,12,10,2,3,2,1,2,1,1
wikiqa_2223,sentence-transformers-all-mpnet-base-v2,BAAI-bge-reranker-base,200,122,33,11,7,8,8,7,0,0,3,1
wikiqa_2223,sentence-transformers-all-mpnet-base-v2,cross-encoder-ms-marco-MiniLM-L-12-v2,200,163,22,8,2,0,1,2,1,0,0,1
wikiqa_2223,sentence-transformers-all-mpnet-base-v2,cross-encoder-ms-marco-electra-base,200,169,18,7,2,0,1,1,1,0,0,1
yahoo_2000,sentence-transformers-all-mpnet-base-v2,BAAI-bge-reranker-large,200,120,25,13,5,8,1,5,4,4,3,12
yahoo_2000,sentence-transformers-all-mpnet-base-v2,BAAI-bge-reranker-base,200,115,24,13,8,8,4,6,3,4,3,12
yahoo_2000,sentence-transformers-all-mpnet-base-v2,cross-encoder-ms-marco-MiniLM-L-12-v2,200,92,29,17,10,10,8,4,5,6,7,12
yahoo_2000,sentence-transformers-all-mpnet-base-v2,cross-encoder-ms-marco-electra-base,200,92,30,13,11,10,15,8,2,3,4,12
golden_answer_2000,BAAI-bge-base-en-v1.5,BAAI-bge-reranker-large,200,55,32,26,16,13,10,8,6,3,1,30
golden_answer_2000,BAAI-bge-base-en-v1.5,BAAI-bge-reranker-base,200,52,28,27,18,16,6,7,4,8,4,30
golden_answer_2000,BAAI-bge-base-en-v1.5,cross-encoder-ms-marco-MiniLM-L-12-v2,200,54,37,24,13,19,8,6,3,1,5,30
golden_answer_2000,BAAI-bge-base-en-v1.5,cross-encoder-ms-marco-electra-base,200,57,40,25,17,11,7,6,5,2,0,30
msmarco_2000,BAAI-bge-base-en-v1.5,BAAI-bge-reranker-large,200,185,13,0,1,0,0,0,0,0,0,1
msmarco_2000,BAAI-bge-base-en-v1.5,BAAI-bge-reranker-base,200,184,12,3,0,0,0,0,0,0,0,1
msmarco_2000,BAAI-bge-base-en-v1.5,cross-encoder-ms-marco-MiniLM-L-12-v2,200,184,12,2,1,0,0,0,0,0,0,1
msmarco_2000,BAAI-bge-base-en-v1.5,cross-encoder-ms-marco-electra-base,200,184,15,0,0,0,0,0,0,0,0,1
papers_dataset_924,BAAI-bge-base-en-v1.5,BAAI-bge-reranker-large,200,140,17,9,8,3,2,1,2,0,0,18
papers_dataset_924,BAAI-bge-base-en-v1.5,BAAI-bge-reranker-base,200,123,29,8,7,2,1,4,5,2,1,18
papers_dataset_924,BAAI-bge-base-en-v1.5,cross-encoder-ms-marco-MiniLM-L-12-v2,200,128,19,8,8,4,3,3,6,2,1,18
papers_dataset_924,BAAI-bge-base-en-v1.5,cross-encoder-ms-marco-electra-base,200,126,18,8,5,5,5,7,3,2,3,18
question_golden_answer_2000,BAAI-bge-base-en-v1.5,BAAI-bge-reranker-large,200,55,33,28,19,12,15,7,10,6,3,12
question_golden_answer_2000,BAAI-bge-base-en-v1.5,BAAI-bge-reranker-base,200,61,35,14,21,18,11,9,9,6,4,12
question_golden_answer_2000,BAAI-bge-base-en-v1.5,cross-encoder-ms-marco-MiniLM-L-12-v2,200,90,49,18,11,9,2,2,3,1,3,12
question_golden_answer_2000,BAAI-bge-base-en-v1.5,cross-encoder-ms-marco-electra-base,200,89,53,17,10,9,4,1,1,3,1,12
wikiqa_2223,BAAI-bge-base-en-v1.5,BAAI-bge-reranker-large,200,134,30,13,9,5,1,0,2,0,2,4
wikiqa_2223,BAAI-bge-base-en-v1.5,BAAI-bge-reranker-base,200,114,32,14,11,7,6,5,2,3,2,4
wikiqa_2223,BAAI-bge-base-en-v1.5,cross-encoder-ms-marco-MiniLM-L-12-v2,200,160,20,11,1,3,1,0,0,0,0,4
wikiqa_2223,BAAI-bge-base-en-v1.5,cross-encoder-ms-marco-electra-base,200,165,17,6,4,1,2,0,0,0,1,4
yahoo_2000,BAAI-bge-base-en-v1.5,BAAI-bge-reranker-large,200,119,18,8,8,5,3,1,2,3,2,31
yahoo_2000,BAAI-bge-base-en-v1.5,BAAI-bge-reranker-base,200,116,19,10,8,4,6,1,3,1,1,31
yahoo_2000,BAAI-bge-base-en-v1.5,cross-encoder-ms-marco-MiniLM-L-12-v2,200,98,20,12,8,14,5,2,5,0,5,31
yahoo_2000,BAAI-bge-base-en-v1.5,cross-encoder-ms-marco-electra-base,200,89,30,11,7,9,6,6,6,4,1,31
golden_answer_2000,sentence-transformers-all-MiniLM-L6-v2,BAAI-bge-reranker-large,200,53,33,25,18,10,6,4,9,2,1,39
golden_answer_2000,sentence-transformers-all-MiniLM-L6-v2,BAAI-bge-reranker-base,200,49,23,28,19,14,9,4,9,5,1,39
golden_answer_2000,sentence-transformers-all-MiniLM-L6-v2,cross-encoder-ms-marco-MiniLM-L-12-v2,200,53,33,26,14,12,9,5,5,1,3,39
golden_answer_2000,sentence-transformers-all-MiniLM-L6-v2,cross-encoder-ms-marco-electra-base,200,59,34,25,14,11,7,2,4,3,2,39
golden_answer_2000,BAAI-bge-large-en-v1.5,BAAI-bge-reranker-large,200,56,32,22,16,16,11,7,6,3,2,29
golden_answer_2000,BAAI-bge-large-en-v1.5,BAAI-bge-reranker-base,200,52,32,21,17,15,9,7,9,5,4,29
golden_answer_2000,BAAI-bge-large-en-v1.5,cross-encoder-ms-marco-MiniLM-L-12-v2,200,56,34,26,14,16,10,6,2,3,4,29
golden_answer_2000,BAAI-bge-large-en-v1.5,cross-encoder-ms-marco-electra-base,200,56,41,24,16,12,9,2,4,4,3,29
msmarco_2000,BAAI-bge-large-en-v1.5,BAAI-bge-reranker-large,200,186,12,1,0,0,0,0,0,0,0,1
msmarco_2000,BAAI-bge-large-en-v1.5,BAAI-bge-reranker-base,200,185,12,2,0,0,0,0,0,0,0,1
msmarco_2000,BAAI-bge-large-en-v1.5,cross-encoder-ms-marco-MiniLM-L-12-v2,200,184,13,1,1,0,0,0,0,0,0,1
msmarco_2000,BAAI-bge-large-en-v1.5,cross-encoder-ms-marco-electra-base,200,184,15,0,0,0,0,0,0,0,0,1
papers_dataset_924,BAAI-bge-large-en-v1.5,BAAI-bge-reranker-large,200,140,23,7,7,7,1,2,2,0,1,10
papers_dataset_924,BAAI-bge-large-en-v1.5,BAAI-bge-reranker-base,200,128,25,12,8,4,2,1,4,5,1,10
papers_dataset_924,BAAI-bge-large-en-v1.5,cross-encoder-ms-marco-MiniLM-L-12-v2,200,126,20,12,10,4,1,4,8,3,2,10
papers_dataset_924,BAAI-bge-large-en-v1.5,cross-encoder-ms-marco-electra-base,200,127,21,7,9,2,6,6,7,2,3,10
question_golden_answer_2000,BAAI-bge-large-en-v1.5,BAAI-bge-reranker-large,200,53,36,28,17,15,10,11,8,9,3,10
question_golden_answer_2000,BAAI-bge-large-en-v1.5,BAAI-bge-reranker-base,200,60,39,17,21,10,13,8,10,6,6,10
question_golden_answer_2000,BAAI-bge-large-en-v1.5,cross-encoder-ms-marco-MiniLM-L-12-v2,200,89,48,24,7,10,2,4,3,3,0,10
question_golden_answer_2000,BAAI-bge-large-en-v1.5,cross-encoder-ms-marco-electra-base,200,89,52,19,13,7,3,2,1,4,0,10
wikiqa_2223,BAAI-bge-large-en-v1.5,BAAI-bge-reranker-large,200,133,30,14,6,5,3,3,2,0,2,2
wikiqa_2223,BAAI-bge-large-en-v1.5,BAAI-bge-reranker-base,200,114,34,11,12,7,9,5,4,1,1,2
wikiqa_2223,BAAI-bge-large-en-v1.5,cross-encoder-ms-marco-MiniLM-L-12-v2,200,163,20,10,1,2,1,1,0,0,0,2
wikiqa_2223,BAAI-bge-large-en-v1.5,cross-encoder-ms-marco-electra-base,200,166,16,12,2,0,0,1,0,0,1,2
yahoo_2000,BAAI-bge-large-en-v1.5,BAAI-bge-reranker-large,200,116,21,7,13,5,1,5,3,1,2,26
yahoo_2000,BAAI-bge-large-en-v1.5,BAAI-bge-reranker-base,200,112,24,10,10,3,6,2,3,4,0,26
yahoo_2000,BAAI-bge-large-en-v1.5,cross-encoder-ms-marco-MiniLM-L-12-v2,200,90,29,13,9,10,7,3,3,4,6,26
yahoo_2000,BAAI-bge-large-en-v1.5,cross-encoder-ms-marco-electra-base,200,91,27,14,6,11,7,6,4,5,3,26
golden_answer_2000,thenlper-gte-base,BAAI-bge-reranker-large,200,54,33,24,21,10,9,11,8,5,3,22
golden_answer_2000,thenlper-gte-base,BAAI-bge-reranker-base,200,51,27,26,22,15,12,4,11,7,3,22
